Full Name,Email,Phone Number,Left Date,Department,Position,Company
Ammar Al-Rashid,ammar.al-rashid@example.com,57958157,10/29/2023,Sales,Operations Specialist,SABIC
Yahya Al-Qahtan,yahya.al-qahtan@example.com,59268751,10/27/2023,Training,Accountant,National Commercial Bank
Turki Al-Otaibi,turki.al-otaibi@example.com,54024165,10/04/2023,Finance,HR Specialist,Saudi Ports Authority
Rashed Al-Saud,rashed.al-saud@example.com,56735144,10/04/2023,Legal,Accountant,Al Rajhi Bank
Saud Al-Rajhi,saud.al-rajhi@example.com,52673709,10/03/2023,Research and Development,Assistant Manager,Saudi Airlines
Saeed Al-Othman,saeed.al-othman@example.com,57345381,10/02/2023,Engineering,Legal Advisor,Saudi Telecom Company
Bader Al-Shammari,bader.al-shammari@example.com,55561276,9/23/2023,Business Development,Manager,Saudi Electricity Company
Jaber Al-Harbi,jaber.al-harbi@example.com,59230234,9/20/2023,Training,Product Manager,National Commercial Bank
Sultan Al-Asmari,sultan.al-asmari@example.com,55518432,9/17/2023,Procurement,Product Manager,Saudi Airlines
Hani Al-Mutairi,hani.al-mutairi@example.com,52895837,09/10/2023,Training,HR Specialist,Alinma Bank
Abdulaziz Al-Asmari,abdulaziz.al-asmari@example.com,53565923,09/09/2023,Human Resources,Manager,Alinma Bank
Riyadh Al-Subaie,riyadh.al-subaie@example.com,58177122,09/08/2023,Business Development,IT Specialist,Mobily
Mazin Al-Zahrani,mazin.al-zahrani@example.com,58595526,09/08/2023,Logistics,HR Specialist,Saudi Electricity Company
Khalid Al-Anazi,khalid.al-anazi@example.com,54759879,09/06/2023,Information Technology,Product Manager,Al Rajhi Bank
Ammar Al-Dosari,ammar.al-dosari@example.com,55253730,8/24/2023,Training,Sales Representative,Saudi Telecom Company
Anas Al-Saud,anas.al-saud@example.com,51977499,8/17/2023,Human Resources,Accountant,National Commercial Bank
Adel Al-Buhairi,adel.al-buhairi@example.com,55982136,08/12/2023,Customer Success,Assistant Manager,Saudi Airlines
Jaber Al-Othman,jaber.al-othman@example.com,51680412,08/09/2023,Operations,Quality Assurance Engineer,Saudi Electricity Company
Saleh Al-Othman,saleh.al-othman@example.com,51705527,08/06/2023,Marketing,Assistant Manager,Saudia
Jaber Al-Anazi,jaber.al-anazi@example.com,54030980,08/01/2023,Procurement,HR Specialist,National Commercial Bank
Saeed Al-Khalid,saeed.al-khalid@example.com,52825591,7/22/2023,Legal,Procurement Specialist,Alinma Bank
Hani Al-Mutairi,hani.al-mutairi@example.com,53442747,7/17/2023,Customer Support,Training Specialist,Saudi Ports Authority
Turki Al-Buhairi,turki.al-buhairi@example.com,52159584,07/10/2023,Design,Software Engineer,SABIC
Yahya Al-Rajhi,yahya.al-rajhi@example.com,54671356,07/02/2023,Marketing,Training Specialist,Saudi Airlines
Saeed Al-Ghamdi,saeed.al-ghamdi@example.com,59439170,6/21/2023,Customer Success,Senior Manager,Al Rajhi Bank
Riyadh Al-Buhairi,riyadh.al-buhairi@example.com,53812462,6/21/2023,Business Development,Engineer,Almarai
Khalid Al-Khalid,khalid.al-khalid@example.com,53561068,6/14/2023,Training,HR Specialist,National Commercial Bank
Muath Al-Juhani,muath.al-juhani@example.com,52162385,6/13/2023,Business Development,Quality Assurance Engineer,National Commercial Bank
Hani Al-Qahtani,hani.al-qahtani@example.com,54558505,06/04/2023,Finance,Engineer,Saudi Aramco
Anas Al-Qahtani,anas.al-qahtani@example.com,53804551,5/23/2023,Information Technology,Operations Specialist,National Commercial Bank
Jaber Al-Buhairi,jaber.al-buhairi@example.com,55351614,5/19/2023,Finance,Training Specialist,Almarai
Majid Al-Sharif,majid.al-sharif@example.com,58248857,05/10/2023,Sales,Marketing Specialist,Alinma Bank
Talha Al-Rashid,talha.al-rashid@example.com,52324036,05/09/2023,Research and Development,Customer Success Manager,Alinma Bank
Abdullah Al-Ghamdi,abdullah.al-ghamdi@example.com,59584071,05/07/2023,Business Development,Marketing Specialist,Al Rajhi Bank
Saeed Al-Qahtani,saeed.al-qahtani@example.com,52490570,05/06/2023,Operations,Customer Success Manager,Saudi Aramco
Saleh Al-Buhairi,saleh.al-buhairi@example.com,51556511,4/24/2023,Engineering,HR Specialist,Saudi Ports Authority
Hassan Al-Juhani,hassan.al-juhani@example.com,59602549,4/23/2023,Marketing,Procurement Specialist,Saudi Ports Authority
Muath Al-Buhairi,muath.al-buhairi@example.com,54631975,04/06/2023,Customer Success,Legal Advisor,Saudi Ports Authority
Riyadh Al-Faisal,riyadh.al-faisal@example.com,55844100,3/28/2023,Training,Procurement Specialist,SABIC
Khalifah Al-Harbi,khalifah.al-harbi@example.com,56903861,3/27/2023,Business Development,Engineer,National Commercial Bank
Khalid Al-Faisal,khalid.al-faisal@example.com,56508619,3/26/2023,Marketing,Accountant,Saudia
Hani Al-Asmari,hani.al-asmari@example.com,59228373,3/22/2023,Training,Assistant Manager,Alinma Bank
Yahya Al-Anazi,yahya.al-anazi@example.com,59503686,03/11/2023,Customer Success,Legal Advisor,Ma’aden
Abdulaziz Al-Anazi,abdulaziz.al-anazi@example.com,58219026,03/10/2023,Logistics,Sales Representative,National Commercial Bank
Ammar Al-Shammari,ammar.al-shammari@example.com,53969158,03/03/2023,Information Technology,Training Specialist,Saudi Airlines
Nawaf Al-Ghamdi,nawaf.al-ghamdi@example.com,55223765,02/04/2023,Training,Support Specialist,Mobily
Rayan Al-Subaie,rayan.al-subaie@example.com,53835603,1/23/2023,Finance,Support Specialist,Saudi Telecom Company
Hisham Al-Othman,hisham.al-othman@example.com,54660303,1/13/2023,Legal,Legal Advisor,STC
Turki Al-Asmari,turki.al-asmari@example.com,56838889,01/02/2023,Quality Assurance,Senior Engineer,Saudia
Mansour Al-Qahtani,mansour.al-qahtani@example.com,59585706,12/07/2022,Marketing,Software Engineer,Saudi Airlines
Abdulrahman Al-Qahtan,abdulrahman.al-qahtan@example.com,58716630,12/06/2022,Business Development,Manager,National Commercial Bank
Riyadh Al-Rashid,riyadh.al-rashid@example.com,53469479,12/03/2022,Training,Business Analyst,Saudi Airlines
Rashed Al-Otaibi,rashed.al-otaibi@example.com,55600388,11/28/2022,Design,Procurement Specialist,Al Rajhi Bank
Abdullah Al-Shammari,abdullah.al-shammari@example.com,51131469,11/14/2022,Procurement,Procurement Specialist,National Commercial Bank
Adel Al-Rajhi,adel.al-rajhi@example.com,56295227,11/10/2022,Human Resources,IT Specialist,National Commercial Bank
Saif Al-Othman,saif.al-othman@example.com,52664191,11/06/2022,Business Development,Operations Specialist,Saudi Electricity Company
Mazin Al-Khalid,mazin.al-khalid@example.com,54552826,11/05/2022,Procurement,Legal Advisor,Al Rajhi Bank
Nawaf Al-Qahtan,nawaf.al-qahtan@example.com,59446361,10/22/2022,Procurement,Product Manager,Saudia
Ayman Al-Khalid,ayman.al-khalid@example.com,58643468,10/18/2022,Business Development,Operations Specialist,Mobily
Fahad Al-Qahtani,fahad.al-qahtani@example.com,53521322,10/04/2022,Engineering,Sales Representative,Al Rajhi Bank
Saif Al-Subaie,saif.al-subaie@example.com,58532882,10/03/2022,Operations,Manager,Saudi Electricity Company
Abdullah Al-Ghamdi,abdullah.al-ghamdi@example.com,53154378,9/30/2022,Marketing,Senior Manager,SABIC
Anas Al-Asmari,anas.al-asmari@example.com,54531140,9/25/2022,Operations,Senior Manager,Saudi Aramco
Talal Al-Sharif,talal.al-sharif@example.com,52718000,9/20/2022,Engineering,Manager,Mobily
Talha Al-Othman,talha.al-othman@example.com,52618493,9/19/2022,Product Management,Sales Representative,Almarai
Yahya Al-Othman,yahya.al-othman@example.com,54767753,9/14/2022,Sales,Operations Specialist,Almarai
Faisal Al-Mutairi,faisal.al-mutairi@example.com,58039416,9/13/2022,Logistics,Marketing Specialist,Ma’aden
Muath Al-Juhani,muath.al-juhani@example.com,54978364,8/31/2022,Marketing,Senior Engineer,Saudi Telecom Company
Yahya Al-Qahtani,yahya.al-qahtani@example.com,57245061,8/25/2022,Human Resources,Support Specialist,SABIC
Yahya Al-Buhairi,yahya.al-buhairi@example.com,52333182,8/22/2022,Research and Development,Legal Advisor,Alinma Bank
Saud Al-Rajhi,saud.al-rajhi@example.com,52990120,8/15/2022,Customer Support,Customer Success Manager,Saudi Telecom Company
Saud Al-Faisal,saud.al-faisal@example.com,54844111,08/11/2022,Engineering,Assistant Manager,Almarai
Mishal Al-Qahtan,mishal.al-qahtan@example.com,51159868,08/02/2022,Logistics,Senior Engineer,Al Rajhi Bank
Majid Al-Sharif,majid.al-sharif@example.com,55551353,7/31/2022,Legal,Legal Advisor,Saudi Telecom Company
Saeed Al-Mutairi,saeed.al-mutairi@example.com,51520174,7/18/2022,Research and Development,HR Specialist,Saudia
Rashed Al-Mutairi,rashed.al-mutairi@example.com,51074111,07/02/2022,Quality Assurance,Software Engineer,Mobily
Abdulrahman Al-Harbi,abdulrahman.al-harbi@example.com,56350638,6/29/2022,Marketing,Engineer,Ma’aden
Majid Al-Qahtani,majid.al-qahtani@example.com,59760789,6/25/2022,Sales,Customer Success Manager,National Commercial Bank
Mishal Al-Dosari,mishal.al-dosari@example.com,55575196,6/24/2022,Business Development,Customer Success Manager,Saudi Aramco
Khalid Al-Qahtan,khalid.al-qahtan@example.com,53499428,06/10/2022,Product Management,Customer Success Manager,Al Rajhi Bank
Khalifah Al-Asmari,khalifah.al-asmari@example.com,59295540,06/06/2022,Product Management,IT Specialist,Ma’aden
Turki Al-Faisal,turki.al-faisal@example.com,53179270,06/04/2022,Quality Assurance,Quality Assurance Engineer,STC
Mishal Al-Harbi,mishal.al-harbi@example.com,58241573,05/08/2022,Design,IT Specialist,Ma’aden
Yousef Al-Othman,yousef.al-othman@example.com,53960614,05/04/2022,Legal,Training Specialist,Almarai
Turki Al-Asmari,turki.al-asmari@example.com,57295880,4/23/2022,Design,Manager,Saudi Telecom Company
Riyadh Al-Qahtani,riyadh.al-qahtani@example.com,58878923,4/16/2022,Logistics,Engineer,Saudi Ports Authority
Majid Al-Subaie,majid.al-subaie@example.com,53123638,4/13/2022,Marketing,Quality Assurance Engineer,Saudi Telecom Company
Saeed Al-Zahrani,saeed.al-zahrani@example.com,52244482,04/07/2022,Quality Assurance,Sales Representative,Saudia
Saleh Al-Dosari,saleh.al-dosari@example.com,58480294,04/03/2022,Design,Customer Success Manager,Saudi Airlines
Sultan Al-Othman,sultan.al-othman@example.com,56321653,3/30/2022,Legal,Quality Assurance Engineer,Saudia
Faisal Al-Zahrani,faisal.al-zahrani@example.com,53521405,3/28/2022,Training,Senior Engineer,Saudia
Hamad Al-Qahtani,hamad.al-qahtani@example.com,58583724,3/24/2022,Customer Support,HR Specialist,Ma’aden
Turki Al-Harbi,turki.al-harbi@example.com,52058679,03/11/2022,Operations,Procurement Specialist,Ma’aden
Hamad Al-Faisal,hamad.al-faisal@example.com,52214891,03/10/2022,Research and Development,Senior Manager,Saudi Aramco
Abdulrahman Al-Othman,abdulrahman.al-othman@example.com,56892737,03/01/2022,Legal,Procurement Specialist,Saudi Ports Authority
Saleh Al-Sharif,saleh.al-sharif@example.com,52074559,2/23/2022,Human Resources,Sales Representative,Ma’aden
Zaid Al-Qahtani,zaid.al-qahtani@example.com,54539568,2/17/2022,Logistics,Assistant Manager,Saudi Airlines
Abdulaziz Al-Othman,abdulaziz.al-othman@example.com,51048295,2/16/2022,Engineering,Legal Advisor,Saudi Telecom Company
Abdullah Al-Asmari,abdullah.al-asmari@example.com,59802393,1/27/2022,Logistics,Sales Representative,Saudi Ports Authority
Khalid Al-Shammari,khalid.al-shammari@example.com,52453219,1/24/2022,Business Development,Business Analyst,Saudi Electricity Company
Anas Al-Dosari,anas.al-dosari@example.com,59508689,01/08/2022,Sales,Accountant,Saudi Ports Authority
Turki Al-Qahtani,turki.al-qahtani@example.com,52660606,12/29/2021,Quality Assurance,Quality Assurance Engineer,Almarai
Anas Al-Asmari,anas.al-asmari@example.com,51161904,12/14/2021,Quality Assurance,Sales Representative,SABIC
Hassan Al-Othman,hassan.al-othman@example.com,58480867,12/14/2021,Information Technology,Product Manager,Saudi Telecom Company
Abdullah Al-Juhani,abdullah.al-juhani@example.com,58362658,11/16/2021,Quality Assurance,Senior Manager,Saudi Ports Authority
Turki Al-Faisal,turki.al-faisal@example.com,58000041,11/03/2021,Quality Assurance,Business Analyst,Saudi Telecom Company
Sultan Al-Buhairi,sultan.al-buhairi@example.com,51792282,10/12/2021,Design,Software Engineer,National Commercial Bank
Abdulrahman Al-Ghamdi,abdulrahman.al-ghamdi@example.com,55008347,10/11/2021,Business Development,Marketing Specialist,Alinma Bank
Rayan Al-Zahrani,rayan.al-zahrani@example.com,55769290,10/08/2021,Engineering,Customer Success Manager,SABIC
Abdulrahman Al-Saud,abdulrahman.al-saud@example.com,56758475,10/06/2021,Customer Support,Training Specialist,Saudi Ports Authority
Talha Al-Dosari,talha.al-dosari@example.com,55656627,9/13/2021,Marketing,Senior Engineer,Al Rajhi Bank
Saud Al-Subaie,saud.al-subaie@example.com,56174664,09/04/2021,Business Development,Procurement Specialist,Al Rajhi Bank
Mishal Al-Mutairi,mishal.al-mutairi@example.com,54629112,8/25/2021,Operations,Accountant,Saudi Aramco
Talal Al-Qahtan,talal.al-qahtan@example.com,54808414,8/21/2021,Marketing,Procurement Specialist,Al Rajhi Bank
Bader Al-Juhani,bader.al-juhani@example.com,52665234,8/21/2021,Procurement,IT Specialist,Saudi Telecom Company
Abdulrahman Al-Otaibi,abdulrahman.al-otaibi@example.com,54033866,8/19/2021,Design,Senior Engineer,Saudi Aramco
Hani Al-Qahtan,hani.al-qahtan@example.com,54885923,8/13/2021,Product Management,Customer Success Manager,Mobily
Talal Al-Saud,talal.al-saud@example.com,56058077,08/12/2021,Engineering,Quality Assurance Engineer,STC
Talha Al-Ghamdi,talha.al-ghamdi@example.com,59021720,08/01/2021,Customer Support,Senior Engineer,Al Rajhi Bank
Majid Al-Rashid,majid.al-rashid@example.com,54074704,7/29/2021,Sales,Customer Success Manager,National Commercial Bank
Mohammed Al-Ghamdi,mohammed.al-ghamdi@example.com,51765471,7/28/2021,Business Development,Sales Representative,Saudia
Sultan Al-Buhairi,sultan.al-buhairi@example.com,54500581,7/16/2021,Operations,Support Specialist,Mobily
Mazin Al-Mutairi,mazin.al-mutairi@example.com,53955222,07/12/2021,Research and Development,IT Specialist,Saudi Telecom Company
Yousef Al-Ghamdi,yousef.al-ghamdi@example.com,56390994,07/10/2021,Product Management,Legal Advisor,Saudi Telecom Company
Zaid Al-Anazi,zaid.al-anazi@example.com,52976032,07/03/2021,Finance,Senior Engineer,SABIC
Ammar Al-Shammari,ammar.al-shammari@example.com,55439986,07/01/2021,Operations,Quality Assurance Engineer,Alinma Bank
Khalifah Al-Rajhi,khalifah.al-rajhi@example.com,51901710,6/25/2021,Human Resources,Procurement Specialist,Saudi Electricity Company
Sultan Al-Qahtani,sultan.al-qahtani@example.com,53712703,6/23/2021,Quality Assurance,IT Specialist,Almarai
Ayman Al-Anazi,ayman.al-anazi@example.com,56528970,6/22/2021,Marketing,Customer Success Manager,Mobily
Fahad Al-Buhairi,fahad.al-buhairi@example.com,56258677,06/07/2021,Sales,Marketing Specialist,Almarai
Khalifah Al-Anazi,khalifah.al-anazi@example.com,59141282,5/17/2021,Design,IT Specialist,Al Rajhi Bank
Saud Al-Dosari,saud.al-dosari@example.com,56565689,5/17/2021,Logistics,Accountant,Ma’aden
Anas Al-Mutairi,anas.al-mutairi@example.com,55542843,05/12/2021,Information Technology,Senior Manager,Saudi Electricity Company
Nawaf Al-Saud,nawaf.al-saud@example.com,54624928,05/08/2021,Finance,Legal Advisor,Alinma Bank
Ayman Al-Rajhi,ayman.al-rajhi@example.com,52202084,05/08/2021,Sales,Support Specialist,STC
Saeed Al-Harbi,saeed.al-harbi@example.com,56488002,4/29/2021,Research and Development,IT Specialist,Al Rajhi Bank
Yahya Al-Mutairi,yahya.al-mutairi@example.com,51601956,04/10/2021,Operations,Legal Advisor,SABIC
Rayan Al-Anazi,rayan.al-anazi@example.com,59106257,3/30/2021,Customer Success,Support Specialist,SABIC
Mishal Al-Dosari,mishal.al-dosari@example.com,59026840,3/29/2021,Customer Support,Accountant,Saudi Telecom Company
Talal Al-Rashid,talal.al-rashid@example.com,55662443,3/14/2021,Sales,HR Specialist,Saudi Telecom Company
Rashed Al-Otaibi,rashed.al-otaibi@example.com,59175837,03/12/2021,Sales,Senior Manager,SABIC
Mansour Al-Otaibi,mansour.al-otaibi@example.com,52531375,03/08/2021,Quality Assurance,Business Analyst,Saudi Telecom Company
Zaid Al-Subaie,zaid.al-subaie@example.com,51442224,03/06/2021,Human Resources,Procurement Specialist,SABIC
Abdullah Al-Subaie,abdullah.al-subaie@example.com,58621432,2/21/2021,Customer Support,Senior Manager,SABIC
Zaid Al-Zahrani,zaid.al-zahrani@example.com,53378159,2/21/2021,Human Resources,Senior Manager,Ma’aden
Sultan Al-Othman,sultan.al-othman@example.com,51902014,02/06/2021,Design,Legal Advisor,Al Rajhi Bank
Khalid Al-Qahtani,khalid.al-qahtani@example.com,54305837,01/11/2021,Procurement,Training Specialist,Saudi Telecom Company
Yahya Al-Zahrani,yahya.al-zahrani@example.com,53957889,01/11/2021,Product Management,IT Specialist,Saudi Ports Authority
Riyadh Al-Qahtan,riyadh.al-qahtan@example.com,59356159,01/09/2021,Product Management,Training Specialist,Saudia
Mansour Al-Rashid,mansour.al-rashid@example.com,55251221,01/01/2021,Business Development,Senior Manager,Al Rajhi Bank
Omar Al-Asmari,omar.al-asmari@example.com,52342837,12/28/2020,Finance,Marketing Specialist,Saudia
Hamad Al-Harbi,hamad.al-harbi@example.com,56724773,12/12/2020,Marketing,Legal Advisor,Mobily
Nawaf Al-Qahtani,nawaf.al-qahtani@example.com,52394674,12/05/2020,Operations,Support Specialist,Saudi Ports Authority
Mohammed Al-Mutairi,mohammed.al-mutairi@example.com,56232655,12/02/2020,Procurement,HR Specialist,Mobily
Hassan Al-Ghamdi,hassan.al-ghamdi@example.com,52898033,11/30/2020,Customer Success,Legal Advisor,Saudia
Khalid Al-Zahrani,khalid.al-zahrani@example.com,52802806,11/26/2020,Research and Development,Customer Success Manager,STC
Fahad Al-Sharif,fahad.al-sharif@example.com,53289902,11/21/2020,Sales,Operations Specialist,Al Rajhi Bank
Ammar Al-Rashid,ammar.al-rashid@example.com,58201171,11/17/2020,Product Management,Engineer,Saudi Aramco
Saif Al-Zahrani,saif.al-zahrani@example.com,52537341,11/12/2020,Customer Success,Operations Specialist,Mobily
Turki Al-Saud,turki.al-saud@example.com,59936232,11/11/2020,Operations,Procurement Specialist,Saudi Telecom Company
Hamad Al-Anazi,hamad.al-anazi@example.com,56984927,10/27/2020,Logistics,Operations Specialist,National Commercial Bank
Jaber Al-Mutairi,jaber.al-mutairi@example.com,52149607,10/25/2020,Operations,HR Specialist,National Commercial Bank
Khalifah Al-Khalid,khalifah.al-khalid@example.com,54984845,10/25/2020,Design,Legal Advisor,Mobily
Omar Al-Mutairi,omar.al-mutairi@example.com,51496259,10/18/2020,Business Development,Support Specialist,SABIC
Saif Al-Khalid,saif.al-khalid@example.com,56291762,10/15/2020,Design,IT Specialist,Alinma Bank
Mansour Al-Sharif,mansour.al-sharif@example.com,59564719,10/03/2020,Quality Assurance,Quality Assurance Engineer,Saudi Aramco
Faisal Al-Khalid,faisal.al-khalid@example.com,53490556,9/18/2020,Legal,Legal Advisor,Saudi Telecom Company
Nawaf Al-Saud,nawaf.al-saud@example.com,55176465,09/08/2020,Quality Assurance,HR Specialist,Ma’aden
Majid Al-Anazi,majid.al-anazi@example.com,54271603,8/26/2020,Sales,Manager,Ma’aden
Adel Al-Sharif,adel.al-sharif@example.com,53829461,8/18/2020,Customer Support,IT Specialist,Saudi Electricity Company
Saif Al-Saud,saif.al-saud@example.com,57782506,8/18/2020,Procurement,Support Specialist,STC
Riyadh Al-Othman,riyadh.al-othman@example.com,54044102,8/14/2020,Human Resources,Accountant,Mobily
